Index.Name	Index.Region	MetricName	Direction	Thresh.Lo	Thresh.Hi	ScoreRegime	MetricName.Other
MBSS.2005.Fish	COLD	ni_m2	Increase	0.88	2.24	135	ABUNSQM
MBSS.2005.Fish	COLD	pi_tv_toler	Increase	22	81	135	PTOL
MBSS.2005.Fish	COLD	pi_brooktrout	Decrease	0.0000000000000001	14	135	PBROOK
MBSS.2005.Fish	COLD	pi_sculpin	Decrease	0.0000000000000001	44	135	PSCULP
MSW.1999.Bugs	CP	nt_total	Decrease	8	17	135	ntaxa
MSW.1999.Bugs	CP	nt_EPT	Decrease	3	7	135	nept
MSW.1999.Bugs	CP	nt_Ephem	Decrease	1	3	135	nephem
MSW.1999.Bugs	CP	nt_Dipt	Decrease	2	4	135	ndipt
MSW.1999.Bugs	CP	pi_Ephem	Decrease	2	11.40001	135	pephem
MSW.1999.Bugs	CP	nt_tv_intol	Decrease	2	6	135	nintol_FAM
MSW.1999.Bugs	CP	x_Becks	Decrease	4	9.00001	135	becks
MSW.1999.Bugs	NCP	nt_total	Decrease	9	15	135	ntaxa
MSW.1999.Bugs	NCP	nt_EPT	Decrease	4	11	135	nept
MSW.1999.Bugs	NCP	nt_Ephem	Decrease	2	4	135	nephem
MSW.1999.Bugs	NCP	nt_Dipt	Decrease	2	4	135	ndipt
MSW.1999.Bugs	NCP	pi_Ephem	Decrease	5.7	20.30001	135	pephem
MSW.1999.Bugs	NCP	nt_tv_intol	Decrease	4	9	135	nintol_FAM
MSW.1999.Bugs	NCP	x_Becks	Decrease	8	12.50001	135	becks
WSA.2006.Bugs	CPL	pi_nonInsect				100	pi_nonInsect
WSA.2006.Bugs	CPL	x_Shan_e				100	x_Shan_e
WSA.2006.Bugs	CPL	nt_ffg_shred				100	nt_ffg_shred
WSA.2006.Bugs	CPL	pt_habit_clngr				100	pt_habit_clngr
WSA.2006.Bugs	CPL	nt_EPT				100	nt_EPT
WSA.2006.Bugs	CPL	pt_tv_toler				100	pt_tv_toler
WSA.2006.Bugs	SAP	pt_Ephem				100	pt_Ephem
WSA.2006.Bugs	SAP	x_Shan_e				100	x_Shan_e
WSA.2006.Bugs	SAP	nt_ffg_scrap				100	nt_ffg_scrap
WSA.2006.Bugs	SAP	pt_habit_brrwr				100	pt_habit_brrwr
WSA.2006.Bugs	SAP	nt_EPT				100	nt_EPT
WSA.2006.Bugs	SAP	pt_tv_toler				100	pt_tv_toler
